ICAO,IATA,Name,Type,Municipality,Country
CYZH,YZH,Slave Lake Airport,Medium airport,Slave Lake,Canada
KISN,ISN,Sloulin Field International Airport,Medium airport,Williston,United States
KINT,INT,Smith Reynolds Airport,Medium airport,Winston Salem,United States
CYYD,YYD,Smithers Airport,Medium airport,Smithers,Canada
CYSH,YSH,Smiths Falls-Montague (Russ Beach) Airport,Medium airport,Smiths Falls,Canada
KMQY,MQY,Smyrna Airport,Medium airport,Smyrna,United States
KPAE,PAE,Snohomish County (Paine Field) Airport,Medium airport,Everett,United States
PASX,SXQ,Soldotna Airport,Medium airport,Soldotna,United States
KSOA,,Sonora Municipal Airport,Medium airport,Sonora,United States
K79J,,South Alabama Regional At Bill Benton Field Airport,Medium airport,Andalusia/Opp,United States
KELD,ELD,South Arkansas Regional At Goodwin Field,Medium airport,El Dorado,United States
MYBS,BIM,South Bimini Airport,Medium airport,South Bimini,Bahamas
MBSC,XSC,South Caicos Airport,Medium airport,South Caicos,Turks and Caicos Islands
CZSN,XSI,South Indian Lake Airport,Medium airport,South Indian Lake,Canada
KBRL,BRL,Southeast Iowa Regional Airport,Medium airport,Burlington,United States
KBPT,BPT,Southeast Texas Regional Airport,Medium airport,Beaumont/Port Arthur,United States
KMDH,MDH,Southern Illinois Airport,Medium airport,Carbondale/Murphysboro,United States
CYPG,YPG,Southport Airport,Medium airport,Portage la Prairie,Canada
KABY,ABY,Southwest Georgia Regional Airport,Medium airport,Albany,United States
