EINN,SNN,Shannon Airport,Large airport,Shannon,Ireland,
UUEE,SVO,Sheremetyevo International Airport,Large airport,Moscow,Russia,
UKFF,SIP,Simferopol International Airport,Large airport,Simferopol,Ukraine,
LWSK,SKP,Skopje Alexander the Great Airport,Large airport,Skopje,Macedonia,
URSS,AER,Sochi International Airport,Large airport,Sochi,Russia,
LBSF,SOF,Sofia Airport,Large airport,Sofia,Bulgaria,
EGHI,SOU,Southampton Airport,Large airport,Southampton,United Kingdom,
ENZV,SVG,Stavanger Airport Sola,Large airport,Stavanger,Norway,
ESSA,ARN,Stockholm Arlanda Airport,Large airport,Stockholm,Sweden,
EDDS,STR,Stuttgart Airport,Large airport,Stuttgart,Germany,
GCXO,TFN,Tenerife North Airport,Large airport,Tenerife Island,Spain,
GCTS,TFS,Tenerife South Airport,Large airport,Tenerife Island,Spain,
LGTS,SKG,Thessaloniki Macedonia International Airport,Large airport,Thessaloniki,Greece,
LATI,TIA,Tirana International Airport Mother Teresa,Large airport,Tirana,Albania,
LFBO,TLS,Toulouse-Blagnac Airport,Large airport,Toulouse/Blagnac,France,
LIPH,TSF,Treviso-Sant'Angelo Airport,Large airport,Treviso,Italy,
ENTC,TOS,Tromsø Airport,Large airport,Tromsø,Norway,
ENVA,TRD,Trondheim Airport Værnes,Large airport,Trondheim,Norway,
LIMF,TRN,Turin Airport,Large airport,Torino,Italy,
UWUU,UFA,Ufa International Airport,Large airport,Ufa,Russia,
LKPR,PRG,Václav Havel Airport Prague,Large airport,Prague,Czechia,
LBWN,VAR,Varna Airport,Large airport,Varna,Bulgaria,
LIPZ,VCE,Venice Marco Polo Airport,Large airport,Venice,Italy,
LIPX,VRN,Verona Villafranca Airport,Large airport,Verona,Italy,
LOWW,VIE,Vienna International Airport,Large airport,Vienna,Austria,
EYVI,VNO,Vilnius International Airport,Large airport,Vilnius,Lithuania,
UUWW,VKO,Vnukovo International Airport,Large airport,Moscow,Russia,
EPWA,WAW,Warsaw Chopin Airport,Large airport,Warsaw,Poland,
UNKL,KJA,Yemelyanovo Airport,Large airport,Krasnoyarsk,Russia,
LDZA,ZAG,Zagreb Airport,Large airport,Zagreb,Croatia,
UUBW,ZIA,Zhukovsky International Airport,Large airport,Moscow,Russia,
LSZH,ZRH,Zürich Airport,Large airport,Zurich,Switzerland,
LECO,LCG,A Coruña Airport,Medium airport,Culleredo,Spain,
EKAH,AAR,Aarhus Airport,Medium airport,Aarhus,Denmark,
LFOI,XAB,Abbeville,Medium airport,Abbeville,France,
EDTY,,Adolf Würth Airport,Medium airport,Schwäbisch Hall,Germany,
LPCB,,Aerodromo de Castelo Branco,Medium airport,Castelo Branco,Portugal,
LPVZ,VSE,Aerodromo Goncalves Lobato (Viseu Airport),Medium airport,Viseu,Portugal,
LPCO,,Aerodromo Municipal de Coimbra,Medium airport,Coimbra,Portugal,
LFBA,AGF,Agen-La Garenne Airport,Medium airport,Agen/La Garenne,France,
EDQA,,Airport Bamberg-Breitenau,Medium airport,Bamberg,Germany,
LFKJ,AJA,Ajaccio-Napoléon Bonaparte Airport,Medium airport,Ajaccio/Napoléon Bonaparte,France,
LGPZ,PVK,Aktion National Airport,Medium airport,Preveza/Lefkada,Greece,
BIAR,AEY,Akureyri Airport,Medium airport,Akureyri,Iceland,
LEAB,ABC,Albacete-Los Llanos Airport,Medium airport,Albacete,Spain,
LFCI,LBI,Albi-Le Séquestre Airport,Medium airport,Albi/Le Séquestre,France,
LERI,,Alcantarilla Air Base,Medium airport,Alcantarilla,Spain,
EGJA,ACI,Alderney Airport,Medium airport,Saint Anne,Guernsey,
LFMS,,Alès-Deaux Airport,Medium airport,Alès/Deaux,France,
LILA,,Alessandria Airport,Medium airport,Alessandria,Italy,
ENAL,AES,Ålesund Airport,Medium airport,Ålesund,Norway,
LGKV,KVA,Alexander the Great International Airport,Medium airport,Kavala,Greece,
LIEA,AHO,Alghero-Fertilia Airport,Medium airport,Alghero,Italy,
LEAM,LEI,Almería International Airport,Medium airport,Almería,Spain,
LSMA,,Alpnach Air Base,Medium airport,Alpnach,Switzerland,
ENAT,ALF,Alta Airport,Medium airport,Alta,Norway,
EDAC,AOC,Altenburg-Nobitz Airport,Medium airport,Altenburg,Germany,
LPAR,AVR,Alverca Air Base,Medium airport,Vila Franca de Xira,Portugal,
EEEI,,Ämari Air Base,Medium airport,Keila,Estonia,
LFXA,,Ambérieu Air Base (BA 278),Medium airport,Ambérieu,France,
LIBA,,Amendola Air Base,Medium airport,Foggia,Italy,
LFAY,,Amiens-Glisy Airport,Medium airport,Amiens/Glisy,France,
URKA,AAQ,Anapa Vityazevo Airport,Medium airport,Anapa,Russia,
LIPY,AOI,Ancona Falconara Airport,Medium airport,Ancona,Italy,
ENAN,ANX,Andøya Airport,Medium airport,Andenes,Norway,
LGAD,PYR,Andravida Air Base,Medium airport,Andravida,Greece,
ESTA,AGH,Ängelholm-Helsingborg Airport,Medium airport,Ängelholm,Sweden,
LFJR,ANE,Angers-Loire Airport,Medium airport,Angers/Marcé,France,
EGOV,VLY,Anglesey Airport,Medium airport,Angelsey,United Kingdom,
LFBU,ANG,Angoulême-Brie-Champniers Airport,Medium airport,Angoulême/Brie/Champniers,France,
LFLP,NCY,Annecy-Haute-Savoie-Mont Blanc Airport,Medium airport,Annecy/Meythet,France,
LFLI,QNJ,Annemasse Airport,Medium airport,Annemasse,France,
EBAW,ANR,Antwerp International Airport,Medium airport,Antwerp,Belgium,
LIMW,AOT,Aosta Airport,Medium airport,Aosta,Italy,
LRAR,ARW,Arad International Airport,Medium airport,Arad,Romania,
LGRX,GPA,Araxos Airport,Medium airport,Patras,Greece,
LFCH,,Arcachon-La Teste-de-Buch Airport,Medium airport,Arcachon,France,
ESNZ,OSD,Åre Östersund Airport,Medium airport,Östersund,Sweden,
LEGA,,Armilla Air Base,Medium airport,Armilla,Spain,
