ICAO,IATA,Name,Type,Municipality,Country,
ZBDH,BPE,Qinhuangdao Beidaihe Airport,Medium airport,Qinhuangdao,China,
ZJQH,BAR,Qionghai Bo'ao Airport,Medium airport,Qionghai,China,
ZYQQ,NDG,Qiqihar Sanjiazi Airport,Medium airport,Qiqihar,China,
OYQN,IHN,Qishn Airport,Small airport,Qishn,Yemen,
ZSQZ,JJN,Quanzhou Jinjiang International Airport,Medium airport,Quanzhou,China,
OJAI,AMM,Queen Alia International Airport,Large airport,Amman,Jordan,
OPQT,UET,Quetta International Airport,Medium airport,Quetta,Pakistan,
UTDT,KQT,Qurghonteppa International Airport,Medium airport,Kurgan-Tyube,Tajikistan,
OE48,,Quz South Airport,Small airport,,Saudi Arabia,
ZSJU,JUZ,Quzhou Airport,Medium airport,Quzhou,China,
OERB,,Rabigh Airport,Small airport,,Saudi Arabia,
LLBL,,Rabin Medical Center (Beilinson),Heliport,Petah Tikva,Israel,
VVRG,VKG,Rach Gia Airport,Medium airport,Rach Gia,Vietnam,
WICT,TKG,Radin Inten II (Branti) Airport,Medium airport,Bandar Lampung-Sumatra Island,Indonesia,
VA1K,,Raedhanpur Airport,Small airport,,India,
OERF,RAH,Rafha Domestic Airport,Medium airport,Rafha,Saudi Arabia,
OPRQ,,Rafiqui Air Base,Medium airport,Shorkot,Pakistan,
OIKR,RJN,Rafsanjan Airport,Medium airport,Rafsanjan,Iran,
OP27,,Rahwali Airport,Small airport,Rahwali,Pakistan,
VERP,RPR,Raipur Airport,Small airport,Raipur,India,
VABP,BHO,Raja Bhoj International Airport,Medium airport,Bhopal,India,
WIDN,TNJ,Raja Haji Fisabilillah International Airport,Small airport,Tanjung Pinang-Bintan Island,Indonesia,
RPMB,,Rajah Buayan Air Base,Medium airport,General Santos City,Philippines,
VORY,RJA,Rajahmundry Airport,Medium airport,Rajahmundry,India,
OP22,,Rajanpur Airport,Small airport,Rajanpur,Pakistan,
VNRB,RJB,Rajbiraj Airport,Small airport,Rajbiraj,Nepal,
VOHS,HYD,Rajiv Gandhi International Airport,Large airport,Hyderabad,India,
VARK,RAJ,Rajkot Airport,Medium airport,Rajkot,India,
LLRD,,Ramat David Air Base,Medium airport,Haifa,Israel,
LLRB,,Rambam Heliport,Heliport,Haifa,Israel,
VNRC,RHP,Ramechhap Airport,Small airport,Ramechhap,Nepal,
VORM,,Ramnad Naval Air Station,Small airport,Ramnad,India,
LLRM,MIP,Ramon Air Base,Medium airport,Beersheba,Israel,
LLER,ETM,Ramon Airport,Medium airport,Eilat,Israel,
OINR,RZR,Ramsar Airport,Medium airport,Mazandaran province,Iran,
WION,NTX,Ranai Airport,Medium airport,Ranai-Natuna Besar Island,Indonesia,
WBKR,RNU,Ranau Airport,Small airport,Ranau,Malaysia,
RPPN,,Rancudo Airfield,Small airport,,Philippines,
VTSR,UNN,Ranong Airport,Medium airport,Ranong,Thailand,
WAPD,DOB,Rar Gwamar Airport,Small airport,Dobo-Warmar Island,Indonesia,
OMRK,RKT,Ras Al Khaimah International Airport,Medium airport,Ras Al Khaimah,United Arab Emirates,
OKNB,,Ras al-Qulayah Naval Base Heliport,Heliport,Ras al-Qulayah Naval Base,Kuwait,
OE45,,Ras Khafji Airport,Small airport,,Saudi Arabia,
OERM,,Ras Mishab Airport,Medium airport,Ras Mishab,Saudi Arabia,
HE45,,Ras Sudr,Small airport,,Egypt,
OETN,,Ras Tanajib Airport,Medium airport,Dammam,Saudi Arabia,
OERT,,Ras Tanura Airport,Medium airport,Ras Tanura,Saudi Arabia,
OS66,,Rasin El Aboud Airport,Small airport,,Syria,
VDRK,RBE,Ratanakiri Airport,Medium airport,Ratanakiri,Cambodia,
VA2D,,Ratlam Airport,Small airport,,India,
VARG,RTC,Ratnagiri Airport,Medium airport,Ratnagiri,India,
OPRT,RAZ,Rawalakot Airport,Medium airport,Rawalakot,Pakistan,
VERL,,Raxaul Airport,Small airport,,India,
OLRA,,Rayak Air Base,Medium airport,Rayak,Lebanon,
RJCR,RBJ,Rebun Airport,Small airport,Rebun,Japan,
WASR,MKW,Rendani Airport,Medium airport,Manokwari-Papua Island,Indonesia,
OLKA,KYE,Rene Mouawad Air Base,Medium airport,Tripoli,Lebanon,
VA1G,REW,Rewa Airport,Medium airport,REWA,India,
OPRS,,Risalpur Air Base,Medium airport,Risalpur,Pakistan,
RJER,RIS,Rishiri Airport,Medium airport,Rishiri,Japan,
OERY,XXN,Riyadh Air Base,Medium airport,Riyadh,Saudi Arabia,
RCSM,,Riyuetan (Sun Moon Lake) Heliport,Heliport,Riyuetan,Taiwan,
ZSRZ,RIZ,Rizhao Shanzihe Airport,Medium airport,Rizhao,China,
VTUR,,Rob Muang Airport,Small airport,,Thailand,
OP36,,Robray Airport,Small airport,,Pakistan,
VTUV,ROI,Roi Et Airport,Medium airport,Roi Et,Thailand,
WIBR,RKO,Rokot Airport,Small airport,Sipora Island,Indonesia,
VNRP,RPA,Rolpa Airport,Small airport,Rolpa,Nepal,
USTR,TJM,Roshchino International Airport,Medium airport,Tyumen,Russia,
VERK,RRK,Rourkela Airport,Medium airport,Rourkela,India,
RPVR,RXS,Roxas Airport,Medium airport,Roxas City,Philippines,
ZSRG,RUG,Rugao Air Base,Medium airport,Rugao,China,
VNRK,RUK,Rukum Chaurjahari Airport,Small airport,Rukumkot,Nepal,
VNRT,RUM,Rumjatar Airport,Small airport,Rumjatar,Nepal,
WI1C,,Rumpin Airport,Small airport,Rumpin-Java Island,Indonesia,
VERU,RUP,Rupsi India Airport,Small airport,,India,
OORQ,MNH,Rustaq Airport,Large airport,Al Masna'ah,Oman,
VTBH,KKM,Sa Pran Nak Airport,Small airport,,Thailand,
LTFJ,SAW,Sabiha Gökçen International Airport,Large airport,Istanbul,Turkey,
WATS,SAU,Sabu-Tardanu Airport,Small airport,Sabu-Sawu Island,Indonesia,
OIMS,AFZ,Sabzevar National Airport,Medium airport,Sabzevar,Iran,
RKPS,HIN,Sacheon Air Base/Airport,Medium airport,Sacheon,South Korea,
OYSH,SYE,Sadah Airport,Small airport,Sadah,Yemen,
RJSD,SDS,Sado Airport,Medium airport,Sado,Japan,
ZYDQ,DQA,Saertu Airport,Small airport,Daqing Shi,China,
VIDD,,Safdarjung Airport,Medium airport,New Delhi,India,
RJFS,HSG,Saga Airport,Medium airport,Saga,Japan,
RJ03,,Sagami Depot Heliport,Heliport,Sagamihara,Japan,
OITS,,Saghez Airport,Small airport,Saghez,Iran,
WBKH,SXS,Sahabat [Sahabat 16] Airport,Small airport,Sahabat,Malaysia,
OITM,ACP,Sahand Airport,Small airport,Maragheh,Iran,
OPSW,SWN,Sahiwal Airport,Small airport,Sahiwal,Pakistan,
VGSD,SPD,Saidpur Airport,Medium airport,Saidpur,Bangladesh,
OPSS,SDT,Saidu Sharif Airport,Medium airport,Saidu Sharif,Pakistan,
ZMSH,,Sainshand Airport,Small airport,,Mongolia,
OOSQ,,Saiq Airport,Small airport,Saiq,Oman,
OS68,,Saiqal Air Base,Small airport,Saiqal,Syria,
VTPL,,Sak Long Airport,Small airport,,Thailand,
OBKH,,Sakhir Air Base,Small airport,Zallaq,Bahrain,
VTUI,SNO,Sakon Nakhon Airport,Medium airport,Sakon Nakhon,Thailand,
OOSA,SLL,Salalah Airport,Medium airport,Salalah,Oman,
USDD,SLY,Salekhard Airport,Medium airport,Salekhard,Russia,
VOSM,SXV,Salem Airport,Medium airport,Salem,India,
VYSL,,Salingyi Airport,Small airport,Salingyi,Burma,
VLSN,NEU,Sam Neua Airport,Medium airport,Sam Neua,Laos,
WAMM,MDC,Sam Ratulangi Airport,Medium airport,Manado-Celebes Island,Indonesia,
LTBX,,Samandıra Air Base,Medium airport,Ümraniye,Turkey,
UTSS,SKD,Samarkand Airport,Medium airport,Samarkand,Uzbekistan,
ZKSE,YJS,Samjiyŏn Airport,Small airport,Samjiyŏn,North Korea,
WAOS,SMQ,Sampit(Hasan) Airport,Small airport,Sampit-Borneo Island,Indonesia,
LTFH,SZF,Samsun Çarşamba Airport,Small airport,Samsun,Turkey,
VTSM,USM,Samui Airport,Medium airport,Na Thon (Ko Samui Island),Thailand,
RPUS,SFE,San Fernando Airport,Medium airport,San Fernando,Philippines,
RPUH,SJI,San Jose Airport,Medium airport,San Jose,Philippines,
OYSN,SAH,Sana'a International Airport,Medium airport,Sana'a,Yemen,
OICS,SDG,Sanandaj Airport,Medium airport,Sanandaj,Iran,
WBKS,SDK,Sandakan Airport,Medium airport,Sandakan,Malaysia,
VNSR,FEB,Sanfebagar Airport,Small airport,Sanfebagar,Nepal,
RPMN,TWT,Sanga Sanga Airport,Medium airport,Tawi-Tawi,Philippines,
WALA,SGQ,Sanggata/Sangkimah Airport,Small airport,Sanggata/Sangkimah,Indonesia,
WAOU,,SANGGU Airport,Small airport,Buntok,Indonesia,
RKTS,,Sangju Airfield,Small airport,Sangju,South Korea,
WRLU,,Sangkulirang Airport,Small airport,Sangkulirang-Borneo Island,Indonesia,
LTCH,SFQ,Şanlıurfa Airport,Medium airport,Şanlıurfa,Turkey,
LTCS,GNY,Şanlıurfa GAP Airport,Medium airport,Şanlıurfa,Turkey,
ZJSY,SYX,Sanya Phoenix International Airport,Large airport,Sanya,China,
OIMC,CKT,Sarakhs Airport,Medium airport,Sarakhs,Iran,
OIZS,,Saravan Airport,Small airport,,Iran,
VLSV,VNA,Saravane Airport,Small airport,Saravane,Laos,
VAAH,AMD,Sardar Vallabhbhai Patel International Airport,Medium airport,Ahmedabad,India,
OIGG,RAS,Sardar-e-Jangal Airport,Medium airport,Rasht,Iran,
OADS,SBF,Sardeh Band Airport,Small airport,Sardeh Band,Afghanistan,
UTSR,,Sariasiya Airport,Small airport,Sariasiya,Uzbekistan,
WAJI,ZRM,Sarmi Airport,Small airport,Sarmi-Papua Island,Indonesia,
VISP,,Sarsawa Air Force Station,Small airport,,India,
UAKK,KGF,Sary-Arka Airport,Large airport,Karaganda,Kazakhstan,
VIST,TNI,Satna Airport,Small airport,,India,
RJX7,,Satsuma Iōjima Airport,Small airport,Mishima-Mura,Japan,
WAPI,SXK,Saumlaki/Olilit Airport,Small airport,Saumlaki-Yamdena Island,Indonesia,
VLSK,ZVK,Savannakhet Airport,Medium airport,Savannakhet,Laos,
VYSA,,Saw Airport,Small airport,Saw,Burma,
OPSW,RZS,Sawan Airport,Small airport,Sawan,Pakistan,
VLSB,ZBY,Sayaboury Airport,Small airport,Sainyabuli,Laos,
OYSY,GXF,Sayun International Airport,Medium airport,Sayun,Yemen,
LLSD,SDV,Sde Dov Airport,Medium airport,Tel Aviv,Israel,
RP16,,Seahawk Lz Airstrip,Small airport,,Philippines,
WMAZ,,Segamat Airport,Small airport,Segamat,Malaysia,
OPSN,SYW,Sehwan Sharif Airport,Medium airport,Sehwan Sharif,Pakistan,
WIBT,TJB,Sei Bati Airport,Small airport,Tanjung Balai-Karinmunbesar Island,Indonesia,
WADA,AMI,Selaparang Airport,Small airport,Mataram-Lombok Island,Indonesia,
WAWH,,Selayar/Aroepala Airport,Small airport,Selayar,Indonesia,
LTFB,,Selçuk Efes Airport,Small airport,Selçuk,Turkey,
WSSL,XSP,Seletar Airport,Medium airport,Seletar,Singapore,
WBGN,BSE,Sematan Airport,Small airport,Sematan,Malaysia,
WSAG,,Sembawang Air Base,Medium airport,Sembawang,Singapore,
UASS,PLX,Semipalatinsk Airport,Medium airport,Semey,Kazakhstan,
RPUE,,Semirara Airport,Small airport,Caluya,Philippines,
OIIS,SNX,Semnan Municipal Airport,Small airport,Semnan,Iran,
OI21,,Semnan New Airport,Small airport,,Iran,
WICJ,,Semplak Airport,Small airport,Bogor,Indonesia,
WBKA,SMM,Semporna Airport,Small airport,Semporna,Malaysia,
WMKJ,JHB,Senai International Airport,Medium airport,Johor Bahru,Malaysia,
RJSS,SDJ,Sendai Airport,Medium airport,Sendai,Japan,
RJSU,,Sendai Kasuminom Airport,Small airport,,Japan,
WAJS,SEH,Senggeh Airport,Small airport,Senggeh,Indonesia,
WAKQ,ZEG,Senggo Airport,Small airport,Senggo-Papua Island,Indonesia,
WALY,SZH,Senipah Heliport,Heliport,Senipah,Indonesia,
WAJJ,DJJ,Sentani International Airport,Large airport,Jayapura-Papua Island,Indonesia,
RKTE,,Seongmu Airport,Small airport,,South Korea,
RKTP,HMY,Seosan Air Base,Small airport,Seosan,South Korea,
RKSM,SSN,Seoul Air Base (K-16),Medium airport,Simgok-dong,South Korea,
WBKO,SPE,Sepulot Airport,Small airport,Sepulot,Malaysia,
WABO,ZRI,Serui Airport,Small airport,Serui-Japen Island,Indonesia,
WITS,,Seumayam Airport,Small airport,Seumayam-Sumatra Island,Indonesia,
WITC,MEQ,Seunagan Airport,Small airport,Peureumeue-Sumatra Island,Indonesia,
UNNS,,Severnoye Airport,Small airport,Severnoe,Russia,
UNIS,,Severo-Eniseysk Airport,Medium airport,Severo-Eniseysk,Russia,
UHMW,,Severo-Evensk Airport,Medium airport,Evensk,Russia,
UHMS,,Seymchan Airport,Medium airport,Seymchan,Russia,
VGEG,CGP,Shah Amanat International Airport,Medium airport,Chittagong,Bangladesh,
VGRJ,RJH,Shah Mokhdum Airport,Medium airport,Rajshahi,Bangladesh,
OPJA,JAG,Shahbaz Air Base,Medium airport,Jacobabad,Pakistan,
OPNH,WNS,Shaheed Benazirabad Airport,Medium airport,Nawabashah,Pakistan,
OICC,KSH,Shahid Ashrafi Esfahani Airport,Medium airport,Kermanshah,Iran,
OIAI,,Shahid Asyaee Airport,Medium airport,Masjed Soleiman,Iran,
OIYY,AZD,Shahid Sadooghi Airport,Medium airport,Yazd,Iran,
OIFH,,Shahid Vatan Pour Air Base,Small airport,,Iran,
OIFS,CQD,Shahrekord Airport,Medium airport,Shahrekord,Iran,
OIMJ,RUD,Shahroud Airport,Small airport,,Iran,
OESB,,Shaibah Airport,Small airport,,Saudi Arabia,
OPRK,RYK,Shaikh Zaid Airport,Medium airport,Rahim Yar Khan,Pakistan,
UTSH,,Shakhristabz Airport,Small airport,Shakhristabz,Uzbekistan,
VGSH,ZHM,Shamshernagar Airport,Small airport,Shamshernagar,Bangladesh,
ZSSS,SHA,Shanghai Hongqiao International Airport,Large airport,Shanghai,China,
ZSPD,PVG,Shanghai Pudong International Airport,Large airport,Shanghai,China,
ZSSR,SQD,Shangrao Sanqingshan Airport,,Shangrao,China,
OASH,OAA,Shank Air Base,Small airport,,Afghanistan,
ZWSS,SXJ,Shanshan Airport,Medium airport,Shanshan,China,
VYST,,Shante Air Base,Medium airport,Meiktila,Burma,
ZGSY,WGN,Shaoyang Wugang Airport,Medium airport,Shaoyang,China,
OASA,OAS,Sharana Airstrip,Small airport,Sharana,Afghanistan,
OMSJ,SHJ,Sharjah International Airport,Large airport,Sharjah,United Arab Emirates,
HESH,SSH,Sharm El Sheikh International Airport,Medium airport,Sharm el-Sheikh,Egypt,
OESH,SHW,Sharurah Airport,Medium airport,Sharurah,Saudi Arabia,
UNKO,,Sharypovo Airport,Medium airport,Sharypovo,Russia,
ZHSS,SHS,Shashi Airport,Small airport,Shashi,China,
ZSSM,SQJ,Shaxian Airport,Medium airport,Sanming,China,
OS65,,Shayrat Air Base,Small airport,Shayrat,Syria,
LLSM,,Sheba (Tel HaShomer) Medical Center,Heliport,Ramat Gan,Israel,
OASG,,Sheberghan Airport,Small airport,,Afghanistan,
OASN,SGA,Sheghnan Airport,Small airport,Sheghnan,Afghanistan,
OBBS,,Sheik Isa Air Base,Medium airport,Sitrah,Bahrain,
VISR,SXR,Sheikh ul Alam Airport,Medium airport,Srinagar,India,
VHSK,,Shek Kong Air Base,Medium airport,Hong Kong,Hong Kong,
OPSP,,Shekhupura Airport,Small airport,Shekhupura,Pakistan,
ZHSN,HPG,Shennongjia Hongping Airport,Medium airport,Shennongjia,China,
ZYYY,,Shenyang Dongta Airport,Medium airport,Shenyang,China,
ZGSZ,SZX,Shenzhen Bao'an International Airport,Large airport,Shenzhen,China,
ZURK,RKZ,Shigatse Air Base,Medium airport,Xigazê,China,
ZBSJ,SJW,Shijiazhuang Daguocun International Airport,Medium airport,Shijiazhuang,China,
RJ04,,Shikabe Airport,Small airport,,Japan,
VEBI,SHL,Shillong Airport,Medium airport,Shillong,India,
VISM,SLV,Shimla Airport,Small airport,,India,
RJTL,,Shimofusa Air Base,Medium airport,Kashiwa,Japan,
RORS,SHI,Shimojishima Airport,Medium airport,Shimojishima,Japan,
OASD,OAH,Shindand Airport,Small airport,,Afghanistan,
OISS,SYZ,Shiraz Shahid Dastghaib International Airport,Large airport,Shiraz,Iran,
VASD,SAG,Shirdi Airport,Medium airport,Shirdi,India,
ZHSY,WDS,Shiyan Wudangshan Airport,Medium airport,Shiyan,China,
RJNY,,Shizuhama Airport,Medium airport,Shizuoka,Japan,
RJSY,SYO,Shonai Airport,Medium airport,Shonai,Japan,
ZSLY,LYI,Shubuling Airport,Small airport,Linyi,China,
VHST,HHP,Shun Tak Heliport,Heliport,Hong Kong,Hong Kong,
UNAU,,Shushenskoye Airport,Small airport,Kazantsevo,Russia,
UAII,CIT,Shymkent Airport,Medium airport,Shymkent,Kazakhstan,
OPST,SKT,Sialkot Airport,Large airport,Sialkot,Pakistan,
RPNS,IAO,Siargao Airport,Small airport,Del Carmen,Philippines,
OPSB,SBQ,Sibi Airport,Small airport,Sibi,Pakistan,
WIMP,SIW,Sibisa Airport,Small airport,Parapat-Sumatra Island,Indonesia,
WBGS,SBW,Sibu Airport,Medium airport,Sibu,Malaysia,
RPVD,DGT,Sibulan Airport,Medium airport,Dumaguete City,Philippines,
VA1F,,Sidhi Airport,Small airport,,India,
VDSR,REP,Siem Reap International Airport,Large airport,Siem Reap,Cambodia,
VCCS,GIU,Sigiriya Air Force Base,Small airport,Sigiriya,Sri Lanka,
VDSV,KOS,Sihanoukville International Airport,Small airport,Sihanukville,Cambodia,
LTCL,SXZ,Siirt Airport,Medium airport,Siirt,Turkey,
WIKL,,Silampari Airport,Small airport,Lubuk Linggau-Sumatra Island,Indonesia,
WIMN,DTB,Silangit Airport,Small airport,Siborong-Borong,Indonesia,
VEKU,IXS,Silchar Airport,Medium airport,Silchar,India,
VNDT,SIH,Silgadi Doti Airport,Small airport,Silgadi Doti,Nepal,
VNSI,SIF,Simara Airport,Small airport,Simara,Nepal,
VNST,IMK,Simikot Airport,Small airport,Simikot,Nepal,
WMKF,,Simpang Airport,Small airport,Kuala Lumpur,Malaysia,
WI1S,,Simpangtiga Redelong Airport,Small airport,Tingkeum-Sumatra Island,Indonesia,
OPMP,MPD,Sindhri Tharparkar Airport,Small airport,Sindhri,Pakistan,
WSSS,SIN,Singapore Changi Airport,Large airport,Singapore,Singapore,
WIOI,,Singkawang Airport,Small airport,Sinkawang-Borneo Island,Indonesia,
LTCM,NOP,Sinop Airport,Small airport,Sinop,Turkey,
WIOS,SQG,Sintang(Susilo) Airport,Medium airport,Sintang-Borneo Island,Indonesia,
PRNO,XSO,Siocon Airport,Small airport,,Philippines,
RPVZ,,Siquijor Airport,Small airport,,Philippines,
OMBY,XSB,Sir Bani Yas Airport,Medium airport,Sir Bani Yas,United Arab Emirates,
OIKY,SYJ,Sirjan Airport,Medium airport,Sirjan,Iran,
VA38,,Sirohi Airport,Small airport,,India,
OIBS,SXI,Sirri Island Airport,Medium airport,Sirri,Iran,
VISA,,Sirsa Air Force Station,Medium airport,Sirsa,India,
WMBA,SWY,Sitiawan Airport,Small airport,Sitiawan,Malaysia,
VYSW,AKY,Sittwe Airport,Medium airport,Sittwe,Burma,
LTAR,VAS,Sivas Nuri Demirağ Airport,Small airport,Sivas,Turkey,
LTAV,,Sivrihisar Airport,Medium airport,Sivrihisar,Turkey,
LTCV,NKT,Şırnak Şerafettin Elçi Airport,Medium airport,Şırnak,Turkey,
OPSD,KDU,Skardu Airport,Medium airport,Skardu,Pakistan,
UOIC,,Snezhnogorsk Airport,Small airport,Snezhnogorsk,Russia,
OYSQ,SCT,Socotra International Airport,Medium airport,Socotra Islands,Yemen,
WIII,CGK,Soekarno-Hatta International Airport,Large airport,Jakarta,Indonesia,
WIMK,MES,Soewondo Air Force Base,Medium airport,Medan-Sumatra Island,Indonesia,
OIMX,,Soga Airport,Small airport,Soga,Iran,
OOSH,OHS,Sohar Airport,Small airport,Sohar,Oman,
UHMM,GDX,Sokol Airport,Medium airport,Magadan,Russia,
VASL,SSE,Solapur Airport,Medium airport,Solapur,India,
VEJS,IXW,Sonari Airport,Medium airport,Jamshedpur,India,
ZKSD,DSO,Sondok Airport,Medium airport,Sŏndŏng-ni,North Korea,
VTSH,SGZ,Songkhla Airport,Medium airport,Mueang Songkhla,Thailand,
ZYSQ,YSQ,Songyuan Chaganhu Airport,Medium airport,Qian Gorlos Mongol Autonomous County,China,
VE24,,Sookerating Airport,Small airport,,India,
WAWS,SQR,Soroako Airport,Small airport,Soroako-Celebes Island,Indonesia,
LLSR,,Soroka Medical Center,Heliport,Beersheba,Israel,
RPLZ,,Sorsogon Airport,Small airport,Sorsogon,Philippines,
RJTS,,Soumagahara Heliport,Heliport,Maebashi,Japan,
LLIC,,Sourasky (Ichilov) Medical Center,Heliport,Tel Aviv,Israel,
USHS,OVS,Sovetskiy Airport,Medium airport,Sovetskiy,Russia,
UODS,,Sredniy Ostrov Air Base,Small airport,Khatanga,Russia,
VIAR,ATQ,Sri Guru Ram Dass Jee International Airport,Large airport,Amritsar,India,
VOPN,PUT,Sri Sathya Sai Airport,Medium airport,Puttaparthi,India,
HESC,SKV,St Catherine International Airport,Medium airport,St. Catherine,Egypt,
WASB,NTI,Stenkol Airport,Small airport,Bintuni,Indonesia,
UDLS,,Stepanavan Airport,Small airport,Stepanavan,Armenia,
UACS,,Stepnogorsk Airport,Small airport,Stepnogorsk,Kazakhstan,
UNSS,SWT,Strezhevoy Airport,Medium airport,Strezhevoy,Russia,
VDST,TNX,Stung Treng Airport,Medium airport,Stung Treng,Cambodia,
WPDB,UAI,Suai Airport,Medium airport,Suai,Timor-Leste,
RPLB,SFS,Subic Bay International Airport,Medium airport,Olongapo City,Philippines,
WAWR,RAQ,Sugimanuru Airport,Small airport,Raha-Muna Island,Indonesia,
UTSN,AFS,Sugraly Airport,Small airport,Zarafshan,Uzbekistan,
OPSU,SUL,Sui Airport,Medium airport,Sui,Pakistan,
ZUSN,,Suining Airport,Small airport,Suining,China,
VTPO,THS,Sukhothai Airport,Medium airport,Sukhothai,Thailand,
UGSS,SUI,Sukhumi Dranda Airport,Medium airport,Sukhumi,Georgia,
OPSK,SKZ,Sukkur Airport,Medium airport,Mirpur Khas,Pakistan,
OESL,SLF,Sulayel Airport,Small airport,,Saudi Arabia,
ORSU,ISU,Sulaymaniyah International Airport,Medium airport,Sulaymaniyah,Iraq,
LTFC,ISE,Süleyman Demirel International Airport,Large airport,Isparta,Turkey,
WMSA,SZB,Sultan Abdul Aziz Shah International Airport,Medium airport,Subang,Malaysia,
WMKA,AOR,Sultan Abdul Halim Airport,Medium airport,Alor Satar,Malaysia,
WALL,BPN,Sultan Aji Muhamad Sulaiman Airport,Small airport,Kotamadya Balikpapan,Indonesia,
WMKI,IPH,Sultan Azlan Shah Airport,Medium airport,Ipoh,Malaysia,
WAMI,TLI,Sultan Bantilan Airport,Small airport,Toli Toli-Celebes Island,Indonesia,
WITT,BTJ,Sultan Iskandar Muda International Airport,Medium airport,Banda Aceh,Indonesia,
WMKC,KBR,Sultan Ismail Petra Airport,Medium airport,Kota Baharu,Malaysia,
WAMT,TTE,Sultan Khairun Babullah Airport,Medium airport,Sango-Ternate Island,Indonesia,
WMKN,TGG,Sultan Mahmud Airport,Medium airport,Kuala Terengganu,Malaysia,
WIPP,PLM,Sultan Mahmud Badaruddin II Airport,Medium airport,Palembang-Sumatra Island,Indonesia,
WIBB,PKU,Sultan Syarif Kasim Ii (Simpang Tiga) Airport,Medium airport,Pekanbaru-Sumatra Island,Indonesia,
WIPA,DJB,Sultan Thaha Airport,Small airport,Jambi-Sumatra Island,Indonesia,
WADS,SWQ,Sumbawa Besar Airport,Small airport,Sumbawa Island,Indonesia,
ZSWX,WUX,Sunan Shuofang International Airport,Medium airport,Wuxi,China,
ZKSC,,Sunchon Air Base,Medium airport,Sunchon,North Korea,
WIBS,SEQ,Sungai Pakning Bengkalis Airport,Small airport,Bengkalis-Sumatra Island,Indonesia,
WMAN,SXT,Sungai Tiang Airport,Small airport,Taman Negara,Malaysia,
WMBB,,Sungei Patani Airport,Small airport,Sungei Patani,Malaysia,
UENS,SUY,Suntar Airport,Small airport,Suntar,Russia,
WIOO,PNK,Supadio Airport,Medium airport,Pontianak-Borneo Island,Indonesia,
OOSR,SUH,Sur Airport,Small airport,Sur,Oman,
VASU,STV,Surat Airport,Medium airport,Surat,India,
VTSB,URT,Surat Thani Airport,Medium airport,Surat Thani,Thailand,
VI43,,Suratgarh New Airport,Small airport,,India,
USRR,SGC,Surgut Airport,Medium airport,Surgut,Russia,
RPMS,SUG,Surigao Airport,Medium airport,Surigao City,Philippines,
VTUJ,PXR,Surin Airport,Medium airport,Surin,Thailand,
VNSK,SKH,Surkhet Airport,Small airport,Surkhet,Nepal,
RKRS,,Susaek (G 113) Airport,Small airport,Goyang,South Korea,
VTBS,BKK,Suvarnabhumi Airport,Large airport,Bangkok,Thailand,
RKSW,SWU,Suwon Air Base,,,South Korea,
ZSSZ,SZV,Suzhou Guangfu Airport,Medium airport,Suzhou,China,
RKSC,,Sv Ri San Helipad,Heliport,,South Korea,
UOIG,,Svetlogorsk Airport,Medium airport,Svetlogorsk,Russia,
UHBS,,Svobodny Airport,Small airport,Svobodny,Russia,
WAOO,BDJ,Syamsudin Noor Airport,Small airport,Banjarmasin-Borneo Island,Indonesia,
VNSB,SYH,Syangboche Airport,Small airport,Namche Bazaar,Nepal,
WAMW,LUW,Syukuran Aminuddin Amir Airport,Medium airport,Luwok - Celebes Island,Indonesia,
OYTZ,TAI,Ta'izz International Airport,Medium airport,Ta'izz,Yemen,
OETF,TIF,Ta’if Regional Airport,Medium airport,Ta’if,Saudi Arabia,
HETB,TCP,Taba International Airport,Medium airport,Taba,Egypt,
OIMT,TCX,Tabas Airport,Medium airport,Tabas,Iran,
WIMG,,Tabing Airport,Medium airport,Padang-Sumatra Island,Indonesia,
OS59,,Tabqa Airport,Small airport,,Syria,
OITT,TBZ,Tabriz International Airport,Large airport,Tabriz,Iran,
OETB,TUU,Tabuk Airport,Medium airport,Tabuk,Saudi Arabia,
ZWTC,TCG,Tacheng Airport,Small airport,Tacheng,China,
RJTC,,Tachikawa Airfield,Small airport,Tokyo,Japan,
VYTL,THL,Tachileik Airport,Medium airport,Tachileik,Burma,
RKTA,QDY,Taean Airport,Small airport,Taean,South Korea,
RKSJ,,Taesong-San Helipad,Heliport,,South Korea,
OPTT,TFT,Taftan Airport,Small airport,Taftan,Pakistan,
RPVT,TAG,Tagbilaran Airport,Medium airport,Tagbilaran City,Philippines,
ZYTH,,Tahe Airport,Small airport,Tahe,China,
RCLG,TXG,Taichung Airport,Small airport,Taichung City,Taiwan,
RCMQ,RMQ,Taichung Ching Chuang Kang Airport,Medium airport,Taichung City,Taiwan,
RCNN,TNN,Tainan Airport,Medium airport,Tainan City,Taiwan,
RCSS,TSA,Taipei Songshan Airport,Medium airport,Taipei City,Taiwan,
WMBI,TPG,Taiping (Tekah) Airport,Small airport,Taiping,Malaysia,
ZYHB,HRB,Taiping Airport,Large airport,Harbin,China,
RCSP,,Taiping Island Airport,Small airport,,Taiwan,
RCFN,TTT,Taitung Airport,Medium airport,Taitung City,Taiwan,
RCTP,TPE,Taiwan Taoyuan International Airport,Large airport,Taipei,Taiwan,
ZBYN,TYN,Taiyuan Wusu Airport,Large airport,Taiyuan,China,
RJBT,TJH,Tajima Airport,Medium airport,Tajima,Japan,
