ICAO,IATA,Name,Type,Municipality,Country,
UTKK,,Kokand Airport,Small airport,Kokand,Uzbekistan,
WABN,KOX,Kokonau Airport,Small airport,Kokonau-Papua Island,Indonesia,
UACK,KOV,Kokshetau Airport,Medium airport,Kokshetau,Kazakhstan,
VAKP,KLH,Kolhapur Airport,Medium airport,Maharashtra,India,
UNLL,,Kolpashevo Airport,Small airport,Kolpashevo,Russia,
USSS,SVX,Koltsovo Airport,Large airport,Yekaterinburg,Russia,
RJNK,KMQ,Komatsu Airport,Medium airport,Kanazawa,Japan,
RJOP,,Komatsushima Heliport,Heliport,Komatsushima,Japan,
WATO,LBJ,Komodo Airport,Small airport,Labuan Bajo - Flores Island,Indonesia,
VDKC,,Kompong Cham Airport,Small airport,Kompong Cham,Cambodia,
UHKK,KXK,Komsomolsk-on-Amur Airport,Medium airport,Komsomolsk-on-Amur,Russia,
OIZC,ZBR,Konarak Airport,Medium airport,Chabahar,Iran,
USHK,,Kondinskoye Airport,Small airport,Kondinskoye,Russia,
OAUZ,UND,Kunduz Airport,Medium airport,Kunduz,Afghanistan,
LTAN,KYA,Konya Airport,Medium airport,Konya,Turkey,
VRMO,GKK,Kooddoo Airport,Small airport,Huvadhu Atoll,Maldives,
RKSN,,Kooni Range Heliport,Heliport,Kooni,South Korea,
UGKO,KUT,Kopitnari Airport,Medium airport,Kutaisi,Georgia,
VOKP,,Koppal Aerodrome,Small airport,Koppal,India,
OPKK,,Korangi Creek Airport,Small airport,Karachi,Pakistan,
ORRW,,Korean Village Forward Operating Base,Heliport,,Iraq,
ZWKL,KRL,Korla Airport,Medium airport,Korla,China,
WABF,FOO,Kornasoren Airfield,Small airport,Kornasoren-Numfoor Island,Indonesia,
UAUU,KSN,Kostanay West Airport,Medium airport,Kostanay,Kazakhstan,
OP18,,Kot Addu Airport,Small airport,Kot Addu,Pakistan,
VIKO,KTU,Kota Airport,Medium airport,Kota,India,
WBKB,,Kota Belud Airport,Small airport,Kota Belud,Malaysia,
WBKK,BKI,Kota Kinabalu International Airport,Medium airport,Kota Kinabalu,Malaysia,
WAMB,,Kotamubagu/Mopait Airport,Small airport,Kotamubagu-Celebes Island,Indonesia,
RKNR,,Kotar Range Heliport,Heliport,Cheonpyeong-ri,South Korea,
VO26,,Kovilpatti Airport,Small airport,,India,
RJAZ,,Kozushima Airport,Small airport,Kozushima,Japan,
VTSG,KBV,Krabi Airport,Medium airport,Krabi,Thailand,
UAOL,BXY,Krainiy Airport,Medium airport,Baikonur,Kazakhstan,
VDSY,KZD,Krakor Airport,Small airport,Krakor,Cambodia,
UIAE,,Krasnokamensk Airport,Medium airport,Krasnokamensk,Russia,
VDKT,KTI,Kratie Airport,Small airport,Kratie,Cambodia,
WMBH,,Kroh Airport,Small airport,Kroh,Malaysia,
OAQM,,Kron Monajn Airport,Small airport,Kron Monajn,Afghanistan,
WMAL,,Kuala Kerai Airport,Small airport,Kuala Kerai,Malaysia,
WMKK,KUL,Kuala Lumpur International Airport,Large airport,Kuala Lumpur,Malaysia,
WAOL,,Kuala Pembuang Airport,Small airport,Kuala Pembuang,Indonesia,
WBKU,,Kuala Penyu Airport,Small airport,Kuala Penyu,Malaysia,
WIPF,,Kuala Tungkal Airport,Small airport,Kuala Tungkal-Sumatra Island,Indonesia,
WIMM,KNO,Kualanamu International Airport,Large airport,,Indonesia,
WMKD,KUA,Kuantan Airport,Medium airport,Kuantan,Malaysia,
WBGG,KCH,Kuching International Airport,Medium airport,Kuching,Malaysia,
WBKT,KUD,Kudat Airport,Small airport,Kudat,Malaysia,
