ICAO,IATA,Name,Type,Municipality,Country
SDIB,,Irmãos Ribeiro Airport,Small airport,Espírito Santo Do Pinhal,Brazil
SEIS,,Isabel Maria Airport,Small airport,América,Ecuador
SPEN,,Iscozasin Airport,Small airport,Iscozasin,Perú
SCIA,,Isla Apiao Airport,Small airport,Isla Apiao,Chile
SAAK,,Isla Martin Garcia Airport,Small airport,Isla Martin Garcia,Argentina
SCIM,,Isla Mocha Airport,Small airport,Isla Mocha,Chile
SCFX,,Isla San Felix Airport,Small airport,Isla San Felix,Chile
SCIK,,Isla Talcan Airport,Small airport,Isla Talcan,Chile
SNIB,,Itaberaba Airport,Small airport,Itaberaba,Brazil
SJWG,,Itagro Airport,Small airport,Alegrete,Brazil
SLIT,,Itaguazurenda Airport,Small airport,Cordillera,Bolivia
SGIB,,Itaipú Airport,Small airport,Itaipú,Paraguay
SIJY,,Itajaí/Campo Comandantes Airport,Small airport,Itajaí,Brazil
SNIK,,Itamarandiba Airport,Small airport,Itamarandiba,Brazil
SDIM,,Itanhaém Airport,Small airport,Itanhaém,Brazil
SWEO,,Itapara Sport Fishing Airport,Small airport,Rorainópolis,Brazil
SNXH,,Itapecuru Airport,Small airport,Codó,Brazil
SDUN,ITP,Itaperuna Airport,Small airport,Itaperuna,Brazil
SIPE,,Itapessoca Airport,Small airport,Goiana,Brazil
SNIP,QIT,Itapetinga Airport,Small airport,Itapetinga,Brazil
SDYW,,Itapeva Airport,Small airport,Itapeva,Brazil
SSYT,,Itapiranga Airport,Small airport,Itapiranga,Brazil
SIBZ,,Itaporanga Airport,Small airport,Itaporanga,Brazil
SSIQ,ITQ,Itaqui Airport,Small airport,Itaqui,Brazil
SDID,,Itararé Airport,Small airport,Itararé,Brazil
SJIT,,Itaú de Minas Airport,Small airport,Itaú De Minas,Brazil
SNYT,,Ituaçu Airport,Small airport,Ituaçu,Brazil
SNZW,ITE,Ituberá Airport,Small airport,Ituberá,Brazil
SNYB,,Ituiutaba Airport,Small airport,Ituiutaba,Brazil
SNYU,,Iturama Airport,Small airport,Iturama,Brazil
SDIV,,Ituverava Airport,Small airport,Ituverava,Brazil
SCIT,,Iván Martinez Airport,Small airport,Isla Tierra Del Fuego,Chile
SLIX,,Ixiamas Airport,Small airport,Iturralde,Bolivia
SLIZ,,Izozog Airport,Small airport,Cordillera,Bolivia
SDJC,0,Jaboticabal Airport,Small airport,Jaboticabal,Brazil
SJLH,,Jacamim Airport,Small airport,Bonfim,Brazil
SBJR,,Jacarepaguá - Roberto Marinho Airport,Small airport,Rio De Janeiro,Brazil
SJQR,,Jacarezinho Airport,Small airport,Valparaíso,Brazil
SAMJ,,Jachal Airport,Small airport,Jachal,Argentina
SWJC,,Jaciara Airport,Small airport,Jaciara,Brazil
SNJB,JCM,Jacobina Airport,Small airport,Jacobina,Brazil
SSJR,,Jaguarão Airport,Small airport,Jaguarão,Brazil
SWYC,,Jair Feliciano de Deus Airport,Small airport,Mirassol D`Oeste,Brazil
SDJL,JLS,Jales Airport,Small airport,Jales,Brazil
SEJM,,Jama Airport,Small airport,Jama,Ecuador
SCJC,,James Conrad Airport,Small airport,Ranguelmo,Chile
SNAP,,Janaúba Airport,Small airport,Janaúba,Brazil
SNJN,JNA,Januária Airport,Small airport,Januária,Brazil
SPQJ,,Jaquí Airport,Small airport,Jaquí,Perú
SNJW,,Jaraguá Airport,Small airport,Sacramento,Brazil
SSJI,,Jardim Airport,Small airport,Jardim,Brazil
SNJA,,Jardim de Angicos Airport,Small airport,Jardim De Angicos,Brazil
