ICAO,IATA,Name,Type,Municipality,Country,
GLCP,CPA,Cape Palmas Airport,Small airport,Harper,Liberia,
FACT,CPT,Cape Town International Airport,Large airport,Cape Town,South Africa,
HECP,CCE,Capital International Airport,Medium airport,,Egypt,
FACR,,Carltonville Airport,Small airport,Carltonville,South Africa,
FACN,,Carnarvon Airport,Small airport,Carnarvon,South Africa,
FEFC,CRF,Carnot Airport,Small airport,Carnot,Central African Republic,
FACL,,Carolina Airport,Small airport,Carolina,South Africa,
HSCG,,Carthago Airport,Small airport,Carthago,Sudan,
FACX,,Cathcart Airport,Small airport,Cathcart,South Africa,
FNCT,CBT,Catumbela Airport,Medium airport,Catumbela,Angola,
FNCZ,CAV,Cazombo Airport,Small airport,Cazombo,Angola,
FVCE,,Celina Airport,Small airport,Celina,Zimbabwe,
FZAD,,Celo Zongo Airport,Small airport,Celo Zongo,Congo (Kinshasa),
FBCM,,Cement Airport,Small airport,Cement,Botswana,
FVCN,,Centenary Airport,Small airport,,Zimbabwe,
FACE,,Ceres Airport,Small airport,Ceres,South Africa,
HDCH,,Chabelley Airport,Small airport,Chabelley,Djibouti,
FBCD,,Chandia Airstrip,Small airport,Chandia,Botswana,
FVCP,,Charles Prince Airport,Small airport,Harare,Zimbabwe,
DABS,TEE,Cheikh Larbi Tébessi Airport,Medium airport,Tébessi,Algeria,
FWCD,CEH,Chelinda Malawi Airport,Small airport,,Malawi,
DAAX,,Chéraga Airport,Small airport,Chéraga,Algeria,
GMTA,AHU,Cherif Al Idrissi Airport,Medium airport,Al Hoceima,Morocco,
FWCL,BLZ,Chileka International Airport,Medium airport,Blantyre,Malawi,
FWCB,,Chilumba Prv Airport,Small airport,Chilumba,Malawi,
FQCH,VPY,Chimoio Airport,Medium airport,Chimoio,Mozambique,
FQTT,TET,Chingozi Airport,Medium airport,Tete,Mozambique,
FLCS,,Chinsali Airport,Small airport,Chinsali,Zambia,
FLCP,CIP,Chipata Airport,Small airport,Chipata,Zambia,
FVCH,CHJ,Chipinge Airport,Small airport,Chipinge,Zimbabwe,
FVCD,,Chirundu Airport,Small airport,Chirundu,Zimbabwe,
FNCH,PGI,Chitato Airport,Small airport,Chitato,Angola,
FWCT,,Chitipa Airport,Small airport,Chitipa,Malawi,
FVCV,,Chivu Airport,Small airport,Chivu,Zimbabwe,
FVCR,,Chizarira Airport,Small airport,Chizarira,Zimbabwe,
FBCH,,Chobe Airport,Small airport,,Botswana,
FLCC,,Chocha Airport,Small airport,Chocha,Zambia,
FLCH,,Choma Airport,Small airport,Choma,Zambia,
FACK,,Christiana Airport,Small airport,Christiana,South Africa,
FLCU,,Chunga Airport,Small airport,,Zambia,
HTCH,,Chunya Airport,Small airport,Chunya,Tanzania,
FACI,,Citrusdal Airport,Small airport,Citrusdal,South Africa,
FACW,,Clanwilliam Airport,Small airport,Clanwilliam,South Africa,
