ICAO,IATA,Name,Type,Municipality,Country,
FZFP,KLI,Kotakoli Airport,Small airport,,Congo (Kinshasa),
HUKO,,Kotido Airport,Small airport,Kotido,Uganda,
DGAA,ACC,Kotoka International Airport,Large airport,Accra,Ghana,
FVOT,,Kotwa Airport,Small airport,,Zimbabwe,
DFCK,,Koudougou Airport,Small airport,Koudougou,Burkina Faso,
FOGK,KOU,Koulamoutou Mabimbi Airport,Medium airport,Koulamoutou,Gabon,
DFEK,,Koupela Airport,Small airport,Koupela,Burkina Faso,
GAKO,KTX,Koutiala Airport,Small airport,Koutiala,Mali,
FKKB,KBI,Kribi Airport,Small airport,Kribi,Cameroon,
FAKL,,Kriel Airport,Small airport,Kriel,South Africa,
FAKS,,Kroonstad Airport,Small airport,Kroonstad,South Africa,
FAKN,MQP,Kruger Mpumalanga International Airport,Medium airport,Mpumalanga,South Africa,
FAKR,,Krugersdorp Airport,Small airport,Krugersdorp,South Africa,
FDKB,,Kubuta Airport,Small airport,Kubuta B,Swaziland,
HLKF,AKF,Kufra Airport,Medium airport,Kufra,Libya,
FNKU,SVP,Kuito Airport,Medium airport,Kuito,Angola,
HKUR,,Kulalu Ranch Airport,Small airport,,Kenya,
DGSI,KMS,Kumasi Airport,Medium airport,Kumasi,Ghana,
FZVF,,Kutusongo Airport,Small airport,Kutusongo,Congo (Kinshasa),
FBKD,,Kwando - Lagoon Airport,Small airport,Lagoon Camp,Botswana,
FBKW,,Kwando - Lebala Airport,Small airport,Lebala Camp,Botswana,
FVKK,,Kwekwe Airport,Small airport,Kwekwe,Zimbabwe,
FV76,,Kwekwe East Airport,Small airport,,Zimbabwe,
FZAW,,Kwilu-Ngongo Airport,Small airport,Kwilu-Ngongo,Congo (Kinshasa),
HLLQ,LAQ,La Abraq Airport,Medium airport,Al Bayda',Libya,
FCBA,,La Louila Airport,Small airport,La Louila,Congo (Brazzaville),
DRRP,,La Tapoa Airport,Small airport,La Tapoa,Niger,
FALB,,Ladybrand Af Airport,Small airport,Ladybrand,South Africa,
FALY,LAY,Ladysmith Airport,Medium airport,Ladysmith,South Africa,
DAUL,LOO,Laghouat Airport,Medium airport,Laghouat,Algeria,
FCBL,LCO,Lague Airport,Small airport,Lague,Congo (Brazzaville),
FTTH,LTC,Lai Airport,Small airport,Lai,Chad,
HKLA,,Laisamis Airport,Small airport,Laisamis,Kenya,
HTLM,LKY,Lake Manyara Airport,Medium airport,Lake Manyara National Park,Tanzania,
HALL,LLI,Lalibella Airport,Small airport,Lalibela,Ethiopia,
FOGR,LBQ,Lambarene Airport,Medium airport,Lambarene,Gabon,
GLLB,,Lamco Airport,Small airport,Buchanan,Liberia,
FALW,SDB,Langebaanweg Airport,Medium airport,Langebaanweg,South Africa,
FVLA,,Langford Airport,Small airport,Langford,Zimbabwe,
FALA,HLA,Lanseria Airport,Medium airport,Johannesburg,South Africa,
FOOR,LTL,Lastourville Airport,Small airport,Lastourville,Gabon,
FDGL,,Lavumisa Airport,Small airport,Lavumisa,Swaziland,
FXLK,LEF,Lebakeng Airport,Small airport,Lebakeng,Lesotho,
FCML,,Leboulou Airport,Small airport,Leboulou,Congo (Brazzaville),
FCMY,,Legala Airport,Small airport,Legala,Congo (Brazzaville),
FCPE,,Leganda Airport,Small airport,Leganda,Congo (Brazzaville),
DFCL,XLU,Leo Airport,Small airport,Leo,Burkina Faso,
GOOY,DKR,Léopold Sédar Senghor International Airport,Large airport,Dakar,Senegal,
FXLR,LRB,Leribe Airport,Small airport,Leribe,Lesotho,
FXLS,LES,Lesobeng Airport,Small airport,Lesobeng,Lesotho,
GQNL,MOM,Letfotar Airport,Small airport,Moudjeria,Mauritania,
FXLT,,Letseng Airport,Small airport,Letseng,Lesotho,
FYLS,LHU,Lianshulu Airport,Small airport,Lianshulu Lodge,Namibia,
FZFA,LIE,Libenge Airport,Small airport,Libenge,Congo (Kinshasa),
FOOL,LBV,Libreville Leon M'ba International Airport,Medium airport,Libreville,Gabon,
FQLC,VXC,Lichinga Airport,Medium airport,Lichinga,Mozambique,
FALI,,Lichtenburg Airport,Small airport,Lichtenburg,South Africa,
HAAL,,Lideta Army Airport,Small airport,Addis Ababa,Ethiopia,
FWLP,,Lifupa Airport,Small airport,Lifupa,Malawi,
FWLK,LIX,Likoma Island Airport,Small airport,Likoma Island,Malawi,
FWKI,LLW,Lilongwe International Airport,Medium airport,Lilongwe,Malawi,
FALC,LMR,Lime Acres Finsch Mine Airport,Medium airport,Lime Acres,South Africa,
FBLV,TLD,Limpopo Valley Airport,Small airport,Tuli Lodge,Botswana,
FBLL,,Limpopo-Lipadi Airport,Small airport,Limpopo-Lipadi,Botswana,
HTLI,LDI,Lindi Airport,Small airport,Lindi,Tanzania,
FBLN,,Linyanti Airport,Small airport,Linyanti,Botswana,
HULI,,Lira Airport,Small airport,Lira,Uganda,
FZGA,LIQ,Lisala Airport,Medium airport,Lisala,Congo (Kinshasa),
HTLL,,Liuli Airport,Small airport,Liuli,Tanzania,
FLLI,LVI,Livingstone Airport,Medium airport,Livingstone,Zambia,
FBLO,LOQ,Lobatse Airport,Small airport,Lobatse,Botswana,
FNLB,,Lobito Airport,Small airport,Lobito,Angola,
FZVA,LJA,Lodja Airport,Small airport,Lodja,Congo (Kinshasa),
HKLO,LOK,Lodwar Airport,Medium airport,Lodwar,Kenya,
FALF,,Loeriesfontein Airport,Small airport,Loeriesfontein,South Africa,
FALH,,Lohathla Military Airport,Small airport,Lohathla,South Africa,
HKLK,LKG,Lokichoggio Airport,Medium airport,Lokichoggio,Kenya,
HKLG,,Lokitaung Airport,Small airport,Lokitaung,Kenya,
HKLR,,Lokori Airport,Small airport,Lokori,Kenya,
FZIZ,,Lokutu Airport,Small airport,Lokutu,Congo (Kinshasa),
HTLD,,Loliondo Airport,Small airport,Loliondo,Tanzania,
FZFN,,Lombo Airport,Small airport,Lombo,Congo (Kinshasa),
DXXX,LFW,Lomé-Tokoin Airport,Medium airport,Lomé,Togo,
FZVE,,Lomela Airport,Small airport,Lomela,Congo (Kinshasa),
HKMX,,Lomolo Airport,Small airport,Lomolo,Kenya,
FALD,LDZ,Londolozi Airport,Small airport,Londolozi,South Africa,
FVLS,,Lonestar Airfield,Small airport,Chiredzi,Zimbabwe,
FVLG,,Longuiel Airport,Small airport,Longuiel,Zimbabwe,
HKOP,,Loporot Airport,Small airport,Loporot,Kenya,
HKTH,,Lothagah Airport,Small airport,Lothagah,Kenya,
FCPI,,Loubetsi Airport,Small airport,Loubetsi,Congo (Brazzaville),
FCMF,,Loufoula Airport,Small airport,Loufoula,Congo (Brazzaville),
FALO,LCD,Louis Trichardt Airport,Small airport,Louis Trichardt,South Africa,
FCPY,,Loukanyi Airport,Small airport,Loukanyi,Congo (Brazzaville),
DFOL,,Loumana Airport,Small airport,Loumana,Burkina Faso,
FCBT,,Loutete Airport,Small airport,Loutete,Congo (Brazzaville),
HKLY,LOY,Loyengalani Airport,Small airport,Loyengalani,Kenya,
FLLA,,Luanshya Zambia Airport,Small airport,Luanshya,Zambia,
FNUA,UAL,Luau Airport,Small airport,Luau,Angola,
FNUB,SDD,Lubango Airport,Medium airport,Lubango,Angola,
FZWS,,Lubao Airport,Small airport,Lubao,Congo (Kinshasa),
FZNF,,Lubero Airport,Small airport,Lubero,Congo (Kinshasa),
FZUE,,Lubondaie Airport,Small airport,Lubondaie,Congo (Kinshasa),
FZQU,,Lubudi Airport,Small airport,Lubudi,Congo (Kinshasa),
FZQA,FBM,Lubumbashi International Airport,Medium airport,Lubumbashi,Congo (Kinshasa),
FNLK,LBZ,Lucapa Airport,Small airport,Lucapa,Angola,
FYLZ,LUD,Luderitz Airport,Medium airport,Luderitz,Namibia,
FZUN,,Luebo Airport,Small airport,Luebo,Congo (Kinshasa),
FNUE,LUO,Luena Airport,Medium airport,Luena,Angola,
FZTL,,Luena Airport,Small airport,Luena,Congo (Kinshasa),
HCMJ,LGX,Lugh Ganane Airport,Small airport,Luuq,Somalia,
FZPC,,Lugushwa Airport,Small airport,Lugushwa,Congo (Kinshasa),
FZAX,,Luheki Airport,Small airport,Luheki,Congo (Kinshasa),
FZUG,LZA,Luiza Airport,Small airport,Luiza,Congo (Kinshasa),
FZAP,,Lukala Airport,Small airport,Lukala,Congo (Kinshasa),
FZVK,,Lukombe-Batwa Airport,Small airport,Lukombe-Batwa,Congo (Kinshasa),
FLLK,LXU,Lukulu Airport,Small airport,Lukulu,Zambia,
FLKZ,,Lukuzi Airport,Small airport,Nansolo,Zambia,
FZOG,,Lulingu Tshionka Airport,Small airport,Lulingu Tshionka,Congo (Kinshasa),
FNBL,GGC,Lumbala Airport,Small airport,Lumbala N'guimbo,Angola,
FQLU,LFB,Lumbo Airport,Small airport,Lumbo,Mozambique,
FLLD,,Lundazi Airport,Small airport,Lundazi,Zambia,
GFLL,FNA,Lungi International Airport,Large airport,Freetown,Sierra Leone,
FZJN,,Luniemu Airport,Small airport,Luniemu,Congo (Kinshasa),
FZAL,LZI,Luozi Airport,Small airport,Luozi,Congo (Kinshasa),
FLLC,,Lusaka City Airport,Medium airport,Lusaka,Zambia,
FZVI,LBO,Lusambo Airport,Small airport,Lusambo,Congo (Kinshasa),
FZCE,LUS,Lusanga Airport,Small airport,Lusanga,Congo (Kinshasa),
FALK,LUJ,Lusikisiki Airport,Small airport,Lusikisiki,South Africa,
FZRL,,Lusinga Airport,Small airport,Lusinga,Congo (Kinshasa),
FVLU,,Lusulu Airport,Small airport,Lusulu,Zimbabwe,
FZUU,,Lutshatsha Airport,Small airport,Lutshatsha,Congo (Kinshasa),
FZRO,,Luvua Airport,Small airport,Luvua,Congo (Kinshasa),
FLLG,,Luwingu Airport,Small airport,Luwingu,Zambia,
HELX,LXR,Luxor International Airport,Large airport,Luxor,Egypt,
FNLZ,LZM,Luzamba Airport,Small airport,Luzamba,Angola,
FALL,,Lydenburg Airport,Small airport,Lydenburg,South Africa,
FOGG,MBC,M'Bigou Airport,Small airport,M'Bigou,Gabon,
FEGE,MKI,M'Boki Airport,Small airport,Mboki,Central African Republic,
FCBP,,M'passa Airport,Small airport,M'passa,Congo (Brazzaville),
FOON,MVB,M'Vengue El Hadj Omar Bongo Ondimba International Airport,Medium airport,Franceville,Gabon,
FLMB,,Maamba Airport,Small airport,Maamba,Zambia,
FVBL,,Mabalauta Airport,Small airport,Mabalauta,Zimbabwe,
FVMF,,Mabikwa Airport,Small airport,Mabikwa,Zimbabwe,
GUMA,MCA,Macenta Airport,Small airport,Macenta,Guinea,
FBMG,,Machaneng Airport,Small airport,Machaneng,Botswana,
FAMQ,,Maclear Airport,Small airport,Maclear,South Africa,
FAMP,,Madimbo Airport,Small airport,Matshakatini,South Africa,
FAMK,,Mafeking Airport,Small airport,Mafeking,South Africa,
FXMF,MFC,Mafeteng Airport,Small airport,Mafeteng,Lesotho,
HTMA,MFA,Mafia Island Airport,Small airport,Mafia Island,Tanzania,
HTSH,,Mafinga Airport,Small airport,Mafinga,Tanzania,
FAGW,,Magwa Airport,Small airport,Magwa,South Africa,
FZKC,,Mahagi Airport,Small airport,Mahagi,Congo (Kinshasa),
HTML,,Mahale Airstrip,Small airport,Mahale,Tanzania,
DITM,TOZ,Mahana Airport,Small airport,Touba,Côte d'Ivoire,
FMMH,VVB,Mahanoro Airport,Small airport,Mahanoro,Madagascar,
FVMH,MJW,Mahenye Airport,Small airport,Gonarezhou National Park,Zimbabwe,
DNMA,MIU,Maiduguri International Airport,Medium airport,Maiduguri,Nigeria,
DRZM,,Maine-Soroa Airport,Small airport,Maine-Soroa,Niger,
FMMO,MXT,Maintirano Airport,Small airport,Maintirano,Madagascar,
GVMA,MMO,Maio Airport,Medium airport,Vila do Maio,Cape Verde,
HKZM,,Maji Mazuri Airport,Small airport,Maji Mazuri,Kenya,
FAMJ,,Majuba Power Station Airport,Small airport,Amerspoort,South Africa,
FCPA,KMK,Makabana Airport,Small airport,Makabana,Congo (Brazzaville),
FBMM,,Makalamabedi Airport,Small airport,Makalamabedi,Botswana,
FALM,,Makhado Air Force Base Airport,Small airport,Louis Trichardt Southwest,South Africa,
FOOK,MKU,Makokou Airport,Medium airport,Makokou,Gabon,
FCOM,MKJ,Makoua Airport,Small airport,Makoua,Congo (Brazzaville),
DNMK,MDI,Makurdi Airport,Medium airport,Makurdi,Nigeria,
FAMF,,Malabar Airport,Small airport,Malabar,South Africa,
FGSL,SSG,Malabo Airport,Medium airport,Malabo,Equatorial Guinea,
FMMC,WML,Malaimbandy Airport,Small airport,Malaimbandy,Madagascar,
HSSM,MAK,Malakal Airport,Medium airport,Malakal,South Sudan,
FAMD,AAM,Malamala Airport,Medium airport,Malamala,South Africa,
FZDA,,Malanga Airport,Small airport,Malanga,Congo (Kinshasa),
FNMA,MEG,Malanje Airport,Medium airport,Malanje,Angola,
FZBN,,Malebo Airport,Small airport,Malebo,Congo (Kinshasa),
FXML,,Malefiloane Airstrip,Small airport,Malefiloane,Lesotho,
HKML,MYD,Malindi Airport,Medium airport,Malindi,Kenya,
DNKN,KAN,Mallam Aminu International Airport,Large airport,Kano,Nigeria,
FAMY,,Malmesbury Airport,Small airport,Mammesbury,South Africa,
FYMH,,Maltahoehe Airstrip,Small airport,Maltahoehe,Namibia,
FKKF,MMF,Mamfe Airport,Small airport,Mamfe,Cameroon,
FMNP,WMP,Mampikony Airport,Small airport,Mampikony,Madagascar,
FBMU,,Mamuno Airport,Small airport,Mamuno,Botswana,
DIMN,MJC,Man Airport,Medium airport,Man,Côte d'Ivoire,
FVMN,,Mana Pools Airport,Small airport,Mana Pools,Zimbabwe,
FMSK,WVK,Manakara Airport,Medium airport,Vatovavy-Fitovinany,Madagascar,
FMNC,WMR,Mananara Nord Airport,Medium airport,Mananara Nord,Madagascar,
FMSM,MNJ,Mananjary Airport,Medium airport,Vatovavy-Fitovinany,Madagascar,
HKLU,LAU,Manda Airstrip,Medium airport,Lamu,Kenya,
FMSC,WMD,Mandabe Airport,Small airport,Mandabe,Madagascar,
HKMA,NDE,Mandera Airport,Small airport,Mandera,Kenya,
FCMO,,Mandoro Airport,Small airport,Mandoro,Congo (Brazzaville),
FMNX,WMA,Mandritsara Airport,Small airport,Mandritsara,Madagascar,
DFCM,,Manga Airport,Small airport,Manga,Burkina Faso,
FZCM,,Mangai Ii Airport,Small airport,Mangai Ii,Congo (Kinshasa),
FWMG,MAI,Mangochi Airport,Medium airport,Mangochi,Malawi,
FMSJ,MJA,Manja Airport,Small airport,Manja,Madagascar,
DRZA,AJY,Mano Dayak International Airport,Medium airport,Agadez,Niger,
FZRA,MNO,Manono Airport,Small airport,Manono,Congo (Kinshasa),
FLMA,MNS,Mansa Airport,Small airport,Mansa,Zambia,
FXMN,,Mantsonyane Airport,Small airport,Mantsonyane,Lesotho,
FAML,,Manyani Game Lodge Airport,Small airport,Mafeking,South Africa,
HTMN,,Manyoni Airport,Small airport,Manyoni,Tanzania,
FTTU,AMO,Mao Airport,Small airport,Mao,Chad,
FQMA,MPM,Maputo Airport,Large airport,Maputo,Mozambique,
FNMQ,,Maquela do Zombo Airport,Small airport,Maquela do Zombo,Angola,
HKMF,,Mara Buffalo Airport,Small airport,Mara,Kenya,
HKMS,MRE,Mara Serena Lodge Airstrip,Medium airport,Masai Mara,Kenya,
DRRM,MFQ,Maradi Airport,Medium airport,Maradi,Niger,
FCMR,,Marala Airport,Small airport,Marala,Congo (Brazzaville),
HKMI,,Maralal (Kisima) Airport,Small airport,Maralal,Kenya,
FAMI,,Marble Hall Airport,Small airport,Marble Hall,South Africa,
DNCA,CBQ,Margaret Ekpo International Airport,Medium airport,Calabar,Nigeria,
FAMG,MGH,Margate Airport,Medium airport,Margate,South Africa,
HSMD,,Marida Airport,Small airport,Marida,South Sudan,
FSMA,,Marie-Louise Airport,Small airport,Marie-Louise Island,Seychelles,
FYML,,Mariental Airport,Medium airport,Mariental,Namibia,
GAMA,,Markala Airport,Small airport,Markala,Mali,
FMNR,WMN,Maroantsetra Airport,Medium airport,Analanjirofo,Madagascar,
FVMA,,Marondera Airport,Small airport,Marondera,Zimbabwe,
FQMR,,Marrupa Airport,Small airport,Marrupa,Mozambique,
HEMA,RMF,Marsa Alam International Airport,Medium airport,Marsa Alam,Egypt,
HLMB,LMQ,Marsa Brega Airport,Medium airport,Al Wahat,Libya,
HKMB,RBT,Marsabit Airport,Small airport,Marsabit,Kenya,
FZDM,,Masamuna Airport,Small airport,Masamuna,Congo (Kinshasa),
HTMI,XMI,Masasi Airport,Small airport,Masasi,Tanzania,
FXMS,,Mashai Store Airport,Small airport,Mashai Store,Lesotho,
FVMB,,Mashumbi Airport,Small airport,Mashumbi,Zimbabwe,
FZCV,MSM,Masi Manimba Airport,Small airport,Masi Manimba,Congo (Kinshasa),
HUMI,KCU,Masindi Airport,Small airport,Masindi,Uganda,
HHMS,MSW,Massawa International Airport,Medium airport,Massawa,Eritrea,
HAML,,Masslo Airport,Small airport,Masslo,Ethiopia,
FVMV,MVZ,Masvingo International Airport,Medium airport,Masvingo,Zimbabwe,
HTMC,,Maswa Airstrip,Small airport,Nyalikungu,Tanzania,
FXMT,,Matabeng Store Airport,Small airport,Matabeng Store,Lesotho,
FXMV,,Matabeng Village Airport,Small airport,Matabeng Village,Lesotho,
FN18,,Matala Airport,Small airport,Matala,Angola,
HTME,,Matambwe Airport,Small airport,Matambwe,Tanzania,
HL56,,Matan al-Sarra Air Base,Medium airport,,Libya,
FZDT,,Matari Airport,Small airport,Matari,Congo (Kinshasa),
FZJH,IRP,Matari Airport,Medium airport,Orientale,Congo (Kinshasa),
FDBM,,Matata Airport,Small airport,Big Bend,Swaziland,
FAMA,,Matatiele Airport,Small airport,Matatiele,South Africa,
HL80,,Matratin Airport,Small airport,,Libya,
FXMA,,Matsaile Airport,Small airport,Matsaile,Lesotho,
FDMS,MTS,Matsapha Airport,Medium airport,Manzini,Swaziland,
FBMA,,Matsieng Airstrip,Small airport,Rasesa,Botswana,
FBMN,MUB,Maun Airport,Medium airport,Maun,Botswana,
FCMA,,Mavinza Airport,Small airport,Mavinza,Congo (Brazzaville),
FCBB,BZV,Maya-Maya Airport,Medium airport,Brazzaville,Congo (Brazzaville),
FOOY,MYB,Mayumba Airport,Small airport,Mayumba,Gabon,
FLMZ,,Mazabuka Airport,Small airport,Mazabuka,Zambia,
FZDQ,,Mazelele Airport,Small airport,Mazelele,Congo (Kinshasa),
FAZP,,Mazeppa Bay Airport,Small airport,Mazeppa Bay,South Africa,
FLBA,MMQ,Mbala Airport,Small airport,Mbala,Zambia,
FZEA,MDK,Mbandaka Airport,Medium airport,Mbandaka,Congo (Kinshasa),
FNBC,SSY,Mbanza Congo Airport,Medium airport,Mbanza Congo,Angola,
HUMA,MBQ,Mbarara Airport,Small airport,Mbarara,Uganda,
FAMX,,Mbazwana Airport,Small airport,Mbazwana,South Africa,
HTBS,,Mbesa Airport,Small airport,Mbesa Mission,Tanzania,
HTMB,,Mbeya Airport,Small airport,Mbeya,Tanzania,
FZUI,,Mboi Airport,Small airport,Mboi,Congo (Kinshasa),
FZWA,MJM,Mbuji Mayi Airport,Medium airport,Mbuji Mayi,Congo (Kinshasa),
HTRU,GIT,Mchauru Airport,Small airport,Geita,Tanzania,
FWMC,,Mchinji Airport,Small airport,Mchinji,Malawi,
DAAY,MZW,Mecheria Airport,Medium airport,Mecheria,Algeria,
DT70,,Medenine Airport,Small airport,Medenine,Tunisia,
FXMU,,Mejametalana Airbase,Small airport,Maseru,Lesotho,
FOOE,MKB,Mekambo Airport,Small airport,Mekambo,Gabon,
HAMA,MKS,Mekane Selam Airport,Small airport,Mekane Selam,Ethiopia,
HAMK,MQX,Alula Aba Nega Airport,Medium airport,Tigray,Ethiopia,
GAMK,,Menaka Airport,Small airport,Menaka,Mali,
GMMX,RAK,Marrakesh Menara Airport,Medium airport,Marrakech,Morocco,
HAMN,NDM,Mendi Airport,Small airport,Mendi,Ethiopia,
FNME,SPP,Menongue Airport,Medium airport,Menongue,Angola,
FZEP,,Mentole Airport,Small airport,Mentole,Congo (Kinshasa),
FYMB,,Meob Bay Landing Site,Small airport,Meob Bay,Namibia,
HSMR,,Merowe Airport,Small airport,Merowe,Sudan,
HSMN,MWE,Merowe New Airport,Medium airport,Merowe,Sudan,
HEMM,MUH,Mersa Matruh Airport,Medium airport,Mersa Matruh,Egypt,
HKMK,,Meru Mulika Airport,Small airport,Mulika,Kenya,
HAMM,ETE,Metema Airport,Small airport,Metema,Ethiopia,
HKZF,,Mfangano Airport,Small airport,Mfangano Island,Kenya,
FLMF,MFU,Mfuwe Airport,Medium airport,Mfuwe,Zambia,
FVGM,,Mhangura Airport,Small airport,,Zimbabwe,
FDMH,,Mhlume Airport,Small airport,Mhlume,Swaziland,
FMMN,ZVA,Miandrivazo Airport,Medium airport,Menabe,Madagascar,
FABA,,Microland Flight Park,Small airport,Bapsfontein,South Africa,
FAMC,,Middelburg 2 Airport,Small airport,Cape Town,South Africa,
FAMB,,Middelburg Airport,Small airport,Middelburg,South Africa,
FVMS,,Middle Sabi Airport,Small airport,Middle Sabi,Zimbabwe,
FYMG,MQG,Midgard Airport,Small airport,Midgard,Namibia,
HKMM,,Migori Airport,Small airport,Migori,Kenya,
HTMK,,Mikumi Airport,Small airport,Mikumi,Tanzania,
FLKW,,Milliken Airport,Small airport,Kabwe,Zambia,
DNMN,MXJ,Minna Airport,Medium airport,Minna,Nigeria,
FOGV,MVX,Minvoul Airport,Small airport,Minvoul,Gabon,
HLMS,MRA,Misratah Airport,Small airport,Misratah,Libya,
FZDY,,Missayi Airport,Small airport,Missayi,Congo (Kinshasa),
HLLM,MJI,Mitiga Airport,Medium airport,Tripoli,Libya,
FZQV,,Mitwaba Airport,Small airport,Mitwaba,Congo (Kinshasa),
FOOM,MZC,Mitzic Airport,Small airport,Mitzic,Gabon,
HAMT,MTF,Mizan Teferi Airport,Small airport,Mizan Teferi,Ethiopia,
FVMK,,Mkonono Airport,Small airport,Mkonono,Zimbabwe,
FLMK,,Mkushi Airport,Small airport,Mkushi,Zambia,
FAMU,MZQ,Mkuze Airport,Medium airport,Mkuze,South Africa,
FVKW,,Mkwasine Airport,Small airport,Mkwasine,Zimbabwe,
FVML,,Mlibizi Airstrip,Small airport,Mlibizi,Zimbabwe,
FAMM,MBD,Mmabatho International Airport,Medium airport,Mafeking,South Africa,
FOGI,MGX,Moabi Airport,Small airport,Moabi,Gabon,
FOOD,MFF,Moanda Airport,Small airport,Moanda,Gabon,
FZDO,,Moanza Airport,Small airport,Moanza,Congo (Kinshasa),
FZRB,BDV,Moba Airport,Small airport,Moba,Congo (Kinshasa),
FEFE,,Mobaye Mbanga Airport,Small airport,Mobaye Mbanga,Central African Republic,
FQMP,MZB,Mocímboa da Praia Airport,Medium airport,Mocímboa da Praia,Mozambique,
GABS,BKO,Modibo Keita International Airport,Large airport,Bamako,Mali,
FZOH,,Moga Airport,Small airport,Moga,Congo (Kinshasa),
GMMI,ESU,Mogador Airport,Small airport,Essaouira,Morocco,
FXMH,,Mohale's Hoek Airport,Small airport,Mohale's Hoek,Lesotho,
DABC,CZL,Mohamed Boudiaf International Airport,Medium airport,Constantine,Algeria,
GMMN,CMN,Mohammed V International Airport,Large airport,Casablanca,Morocco,
FMCI,NWA,Mohéli Bandar Es Eslam Airport,Medium airport,Mohéli,Comoros,
FXMP,,Mohlanapeng Airport,Small airport,Mohlanapeng,Lesotho,
HKRE,,Moi Air Base,Medium airport,Nairobi,Kenya,
FZFH,,Mokaria-Yamoleka Airport,Small airport,Mokaria-Yamoleka,Congo (Kinshasa),
FXMK,MKH,Mokhotlong Airport,Small airport,Mokhotlong,Lesotho,
FYMO,OKU,Mokuti Lodge Airport,Small airport,Mokuti Lodge,Namibia,
FAMT,,Molteno Airport,Small airport,Molteno,South Africa,
FZUH,,Moma Airport,Small airport,Moma,Congo (Kinshasa),
HKMO,MBA,Mombasa Moi International Airport,Large airport,Mombasa,Kenya,
HTMO,,Mombo Airport,Small airport,Mombo,Tanzania,
FBMB,,Mombo Camp Airport,Small airport,,Botswana,
FZFR,,Mombongo Airport,Small airport,Mombongo,Congo (Kinshasa),
DTMB,MIR,Monastir Habib Bourguiba International Airport,Medium airport,Monastir,Tunisia,
FZGG,,Mondombe Airport,Small airport,Mondombe,Congo (Kinshasa),
FTTM,MVO,Mongo Airport,Small airport,Mongo,Chad,
FZDN,,Mongo Wa Kenda Airport,Small airport,Mongo Wa Kenda,Congo (Kinshasa),
FLMG,MNR,Mongu Airport,Medium airport,Mongu,Zambia,
FZEB,,Monieka Airport,Small airport,Monieka,Congo (Kinshasa),
FWMY,MYZ,Monkey Bay Airport,Small airport,Monkey Bay,Malawi,
FZGX,,Monkoto Airport,Small airport,Monkoto,Congo (Kinshasa),
FACA,,Monte Carlo Airport,Small airport,Monte Carlo,South Africa,
FAMV,,Montrose Airport,Small airport,Montrose,South Africa,
FLMO,,Monze Airport,Small airport,Monze,Zambia,
GAMB,MZI,Mopti Airport,Medium airport,Mopti,Mali,
FMMR,TVA,Morafenobe Airport,Small airport,Morafenobe,Madagascar,
FAMS,,Morningside Farm Airport,Medium airport,Silveroaks,South Africa,
HTMG,,Morogoro Airport,Small airport,Morogoro,Tanzania,
FMSR,MXM,Morombe Airport,Medium airport,Morombe,Madagascar,
FMMV,MOQ,Morondava Airport,Medium airport,Menabe,Madagascar,
HUMO,,Moroto Airport,Small airport,Moroto,Uganda,
HTMS,QSI,Moshi Airport,Small airport,Moshi,Tanzania,
FXMM,MSU,Moshoeshoe I International Airport,Medium airport,Maseru,Lesotho,
FAMO,MZY,Mossel Bay Airport,Small airport,Mossel Bay,South Africa,
FCMM,MSX,Mossendjo Airport,Small airport,Mossendjo,Congo (Brazzaville),
DA14,MQV,Mostaganem Airport,Small airport,,Algeria,
GVMT,MTI,Mosteiros Airport,Small airport,Vila do Mosteiros,Cape Verde,
FBMO,,Motopi Airport,Small airport,Motopi,Botswana,
HDMO,MHI,Moucha Airport,Small airport,Moucha Island,Djibouti,
FOGM,MJL,Mouilla Ville Airport,Medium airport,Mouila,Gabon,
GMFK,ERH,Moulay Ali Cherif Airport,Medium airport,Errachidia,Morocco,
FTTD,MQQ,Moundou Airport,Medium airport,Logone Occidental,Chad,
FVMD,,Mount Darwin Airport,Small airport,,Zimbabwe,
FYME,MJO,Mount Etjo Airport,Small airport,Mount Etjo Safari Lodge,Namibia,
FCBM,MUY,Mouyondzi Airport,Small airport,Mouyondzi,Congo (Brazzaville),
HKMY,OYL,Moyale Airport,Small airport,Moyale (Lower),Kenya,
HUMY,OYG,Moyo Airport,Small airport,Moyo,Uganda,
FZFQ,,Mpaka Airport,Small airport,Mpaka,Congo (Kinshasa),
HTMP,,Mpanda Airport,Small airport,Mpanda,Tanzania,
FLMP,,Mpika Airport,Small airport,Mpika,Zambia,
FLPK,,Mporokoso Airport,Small airport,Mporokoso,Zambia,
HTMX,,Mpwapwa Airport,Small airport,Mpwapwa,Tanzania,
FAMZ,,Msauli Airport,Small airport,Msauli,South Africa,
HTMR,,Msembe Airport,Small airport,Msembe,Tanzania,
FWTK,,Mtakatata Airport,Small airport,Mtakatata,Malawi,
HTMT,MYW,Mtwara Airport,Medium airport,Mtwara,Tanzania,
FZUJ,,Muambi Airport,Small airport,Muambi,Congo (Kinshasa),
FZAG,MNB,Muanda Airport,Small airport,,Congo (Kinshasa),
FADK,DUK,Mubatuba Airport,Small airport,Mubatuba,South Africa,
FQMD,MUD,Mueda Airport,Medium airport,Mueda,Mozambique,
HTMF,,Mufindi Airport,Small airport,Mufindi,Tanzania,
FLML,,Mufulira Airport,Small airport,Mufulira,Zambia,
HAMR,MUJ,Mui River Airport,Small airport,Omo National Park,Ethiopia,
